department,title,date,pdf_url
Consumer Education and Protection,"Reserve Bank of India (Commercial Banks - Internal Ombudsman) Directions, 2026",2026-01-14,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF
Consumer Education and Protection,"Reserve Bank of India (Payments Banks - Internal Ombudsman) Directions, 2026",2026-01-14,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT3821EAEF90E037B4061A91775A5525510C3.PDF
Consumer Education and Protection,"Master Direction - Reserve Bank of India (Internal Ombudsman for Regulated Entities) Directions, 2023",2023-12-29,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/108MDINTERNALOMBUDSMANCC05402F77BE4F229B59877F341386A4.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Capital Charge for Credit Risk - Standardised Approach) Directions, 2026 (Effective from April 1, 2027)",2026-04-27,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/397MD7DCC951F9F014A738C60E0FBC1A73D70.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Asset Classification, Provisioning and Income Recognition) Directions, 2026",2026-04-27,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD39857992A3DBE7946619F0F76DF81E472CF.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Prudential Norms on Declaration of Dividend and Remittances of Profits) Directions, 2026",2026-03-10,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/387MD1003202698CBFA3D29254532B33C97C231B6F7D8.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Miscellaneous) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/174MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Forthcoming Instructions) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/173MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Climate Finance and Management of Climate Change Risks) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/172MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Managing Risks in Outsourcing) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/171MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Responsible Business Conduct) Directions, 2025 (Updated as on April 1, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/170MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/169MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on May 18, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/167MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/166MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Resolution of Stressed Assets) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/165MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Income Recognition, Asset Classification and Provisioning) Directions, 2025 (Updated as on January 01, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/164MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Asset Liability Management) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/163MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/162MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Interest Rates on Advances) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/161MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Securitisation Transactions) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/160MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Transfer and Distribution of Credit Risk) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/159MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Concentration Risk Management) Directions, 2025 (Updated as on April 01, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/158MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Credit Risk Management) Directions, 2025 (Updated as on April 01, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/157MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Credit Information Reporting) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/156MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Credit Cards and Debit Cards: Issuance and Conduct) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/155MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Credit Facilities) Directions, 2025 (Updated as on April 01, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/154MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Interest Rate on Deposits) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/153MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Resource Raising Norms) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/152MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on May 18, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/151MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on January 22, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/150MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Governance) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/149MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Undertaking of Financial Services) Directions, 2025 (Updated as on April 27, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/148MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Digital Banking Channels Authorisation) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Branch Authorisation) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/147MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Voluntary Amalgamation) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/146MD.PDF
Dept of Regulation - Commercial Banks,"Reserve Bank of India (Commercial Banks - Acquisition and Holding of Shares or Voting Rights) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/145MD.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Prudential Norms on Declaration of Dividend) Directions, 2026",2026-03-10,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/388MD10032026C9C28BA2FD904454A24EE40607D82CC7.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Miscellaneous) Directions, 2025 (Updated as on April 01, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/221MD.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/218MD.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Interest Rate on Deposits) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/212MD.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Prudential Norms on Capital Adequacy) Directions, 2025 (updated as on May 08, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/211MD.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on January 22, 2026)",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/210MD.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Governance) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/209MD.PDF
Dept of Regulation - Payments Banks,"Reserve Bank of India (Payments Banks - Branch Authorisation) Directions, 2025",2025-11-28,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/207MD.PDF
